feature,reference_mean,current_mean,standardized_mean_shift,psi,reference_missing_rate,current_missing_rate,feature_type,reference_unique,current_unique,new_category_rate
day_of_month,16.049253555895145,15.819934179595675,-0.026330222924009973,0.0030389691986841853,0.0,0.0,numeric,,,
days_to_nearest_us_holiday,13.939892637435838,13.959724181162827,0.0015709986070280217,9.039418722497252e-05,0.0,0.0,numeric,,,
intermittency_score_28,0.0,0.0,0.0,0.0,0.0,0.0,numeric,,,
is_month_end,0.03471650797382548,0.03416392414981978,-0.003018521002991154,9.182486433592797e-06,0.0,0.0,numeric,,,
is_month_start,0.027350025469221426,0.03259677166588309,0.03216802445142222,0.000949160922153483,0.0,0.0,numeric,,,
is_weekend,0.287292817679558,0.2863187588152327,-0.0021525772306496254,4.63847266151206e-06,0.0,0.0,numeric,,,
item_day_of_week_historical_mean,67.17173441655721,70.74931610564037,0.37666498964692363,0.28922360108690987,0.0,0.0,numeric,,,
item_historical_mean,67.17050126771214,70.75868017074215,0.4708937001141887,2.6902891927357686,0.0,0.0,numeric,,,
item_month_historical_mean,65.98115305847179,70.1860177755979,0.41932811032698947,0.44912948022125787,0.0,0.0,numeric,,,
recent_zero_sales_28,0.0,0.0,0.0,0.0,0.0,0.0,numeric,,,
sales,69.83589984718468,77.27049051872747,0.5479576038957681,0.3664948509978237,0.0,0.0,numeric,,,
sales_cv_28,0.11262185501622586,0.09984203073040264,-0.55369017949398,0.43208102639635615,0.0,0.0,numeric,,,
sales_lag_1,69.82657419380118,77.25858015984956,0.5479831898469281,0.3663787556300975,0.0,0.0,numeric,,,
sales_lag_14,69.88111751106932,77.35856448832472,0.5503984089436504,0.36800962831263556,0.0,0.0,numeric,,,
sales_lag_28,69.96540104227891,77.4480488951575,0.5508104035514664,0.36852938818162906,0.0,0.0,numeric,,,
sales_lag_56,70.11649230045845,77.59489108290236,0.5515971838678149,0.3661095335079505,0.0,0.0,numeric,,,
sales_lag_7,69.86062458367618,77.31578122551325,0.5494838921814069,0.36727910047888307,0.0,0.0,numeric,,,
sales_lag_delta_7_14,-0.02049292739312723,-0.04278326281147156,-0.0031303781341517874,0.0004724611659608594,0.0,0.0,numeric,,,
sales_lag_ratio_7_28,1.005075901631536,1.003248954154865,-0.015800876967469346,0.023415835429124076,0.0,0.0,numeric,,,
sales_momentum_7_28,0.9994690081613615,0.9991651969487196,-0.009942174101588274,0.02031860652343978,0.0,0.0,numeric,,,
sales_rolling_max_28,84.65263900317386,91.84971007679047,0.6195580159018599,1.2684656084238708,0.0,0.0,numeric,,,
sales_rolling_max_7,80.4420673171114,87.85535182573264,0.626149649197208,0.5822192959582239,0.0,0.0,numeric,,,
sales_rolling_mean_14,69.84040314139057,77.30771039022096,0.6586330569066371,0.815452222092061,0.0,0.0,numeric,,,
sales_rolling_mean_28,69.87276024786311,77.35614099894778,0.6636858710898338,1.4686469220367164,0.0,0.0,numeric,,,
sales_rolling_mean_56,69.95083880501772,77.43629805001454,0.6717546452609746,1.4857299077159196,0.0,0.0,numeric,,,
sales_rolling_mean_7,69.82910432305049,77.28535607943225,0.6529248484933448,0.738718836450756,0.0,0.0,numeric,,,
sales_rolling_median_28,69.86748168175228,77.43590346340699,0.6652844852513669,0.8117955166317126,0.0,0.0,numeric,,,
sales_rolling_median_7,69.83315700795423,77.33380347907851,0.6435340514009295,0.625598544020273,0.0,0.0,numeric,,,
sales_rolling_min_28,55.254927314760394,62.632972888262024,0.6343492720446983,0.5570921328606862,0.0,0.0,numeric,,,
sales_rolling_min_7,59.23329806825751,66.72543488481429,0.6312385450664996,0.5742050843392577,0.0,0.0,numeric,,,
sales_rolling_std_28,7.658249702530553,7.607117587618329,-0.05769548420333701,0.009573333241112014,0.0,0.0,numeric,,,
sales_rolling_std_7,7.701114144003859,7.651494905524195,-0.02664282401905517,0.0021602840896712563,0.0,0.0,numeric,,,
sales_same_weekday_4wk_mean,69.9023810456748,77.37413153633183,0.5788053536537192,0.41396869557252725,0.0,0.0,numeric,,,
sales_trend_28,-0.005141735128804601,-0.007017360566960945,-0.005518614681770662,0.002134814998967493,0.0,0.0,numeric,,,
store_day_of_week_historical_mean,67.89100946321314,78.57651386305349,1.2926005054589012,6.3374362901632555,0.0,0.0,numeric,,,
store_historical_mean,67.88534728343575,78.57644759465526,1.7631452593350199,12.433016099480776,0.0,0.0,numeric,,,
store_item_historical_mean,71.09105760320423,78.53508934017574,0.8052253335398728,3.837036639013366,0.0,0.0,numeric,,,
store_month_historical_mean,67.17263406230174,78.15293535652599,1.2038302991895926,5.449016636989486,0.0,0.0,numeric,,,
week_of_year,28.18396614552721,28.289139633286318,0.007410786842390282,0.0003908578464597027,0.0,0.0,numeric,,,
year_index,0.5454331726813213,0.5641748942172073,0.037638415185536955,0.0014222702008038811,0.0,0.0,numeric,,,
date,,,,,0.0,0.0,categorical,674.0,674.0,0.0
day_of_week,,,,,0.0,0.0,categorical,7.0,7.0,0.0
is_us_holiday,,,,,0.0,0.0,categorical,2.0,2.0,0.0
item,,,,,0.0,0.0,categorical,12.0,10.0,0.0
month,,,,,0.0,0.0,categorical,12.0,12.0,0.0
quarter,,,,,0.0,0.0,categorical,4.0,4.0,0.0
store,,,,,0.0,0.0,categorical,4.0,1.0,0.0
