feature,importance,rank
sales_same_weekday_4wk_mean,7.878547310746986,1
sales_rolling_mean_7,2.991784518959303,2
day_of_week,1.2491704796472038,3
is_weekend,0.8029501247006614,4
month,0.7296008754269933,5
week_of_year,0.5308725532729005,6
store_item_historical_mean,0.2896785271964397,7
day_of_month,0.2529326631138152,8
sales_rolling_mean_56,0.2509210520137681,9
item_month_historical_mean,0.17968596493154396,10
sales_lag_1,0.14394685435495744,11
sales_momentum_7_28,0.12922879422606423,12
item_day_of_week_historical_mean,0.07859938827120623,13
year_index,0.0659714669867147,14
quarter,0.058571410211897046,15
sales_lag_56,0.0480746917417072,16
sales_rolling_mean_28,0.03942233611103715,17
store_day_of_week_historical_mean,0.03154049507080329,18
sales_rolling_mean_14,0.029254128548401148,19
sales_rolling_median_28,0.020969538203905753,20
sales_cv_28,0.020763051838879793,21
store_month_historical_mean,0.018704348471456928,22
days_to_nearest_us_holiday,0.013894711920309591,23
sales_rolling_std_28,0.008354441617986671,24
sales_lag_7,0.00799270646053755,25
sales_trend_28,0.006814005501886082,26
sales_rolling_max_7,0.006665271373007246,27
sales_rolling_median_7,0.004933912355107021,28
sales_rolling_min_28,0.004505859746611958,29
sales_rolling_min_7,0.0019717605149945547,30
